seed,K,m,n,alpha,beta,limit,目的関数値,G,priceterm,fairness_term_1,fairness_term_2,計算時間,status
0,8,20,20,0.25,0.25,96,0.022304433711933986,0.06456180153723984,0.9396583203659205,0.08347004561351314,0.007145129817254681,96.00749182701111,time_limit
1,8,20,20,0.25,0.25,96,0.01725795172696043,0.09037526739723903,0.8173150868195825,0.06334400795173029,0.04159151206229361,96.0080840587616,time_limit
2,8,20,20,0.25,0.25,96,0.00032930018659132034,0.01836243825413747,0.09097543766472616,0.05997654972376024,0.006316597655431133,96.00773596763611,time_limit
3,8,20,20,0.25,0.25,96,0.009063710350584283,0.06378143308126658,0.5910337948086114,0.0751483991466855,0.02483619344750032,96.01104593276978,time_limit
4,8,20,20,0.25,0.25,96,0.021752919610447098,0.08240827545097008,0.902226971567715,0.20951264135576053,0.011107846703114266,96.00910186767578,time_limit
