K,n,m,alpha,beta,G,price_term,fairness_term1,fairness_term2,objective,t,gap,status
2,5,3,0.0,0.0,0.20173004767465674,0.07253301568031449,0.058147091040542775,0.07104994095379946,0.005261038363680748,10.015421152114868,0.026411535776964427,9
2,5,3,0.25,0.25,0.16697736032726843,0.07710635089133791,0.056187966662271105,0.03368304277365941,0.004045603415922227,10.003817796707153,0.02002465546338383,9
2,5,3,0.0,0.5,0.15886415693896966,0.07984504520265194,0.05565196993828314,0.023367141798034563,0.003460627279611493,10.010121822357178,0.01331227330659073,9
2,5,3,0.5,0.0,0.19535725712503085,0.07266477253977191,0.05781620102469598,0.06487628356056296,0.004311441134592423,10.014419078826904,0.02981481974701823,9
