seed,K,m,n,alpha,beta,limit_1,limit_2,hybrid_limit,objective,G,price_term,fairness_term1,fairness_term2,dd1_time,dd2_time,hybrid_time,total_time,dd1_status,dd2_status,hybrid_status
0,8,20,20,0.25,0.25,80,16,5,0.01995797690604228,0.08641029911012507,0.8448826911696068,0.2577842998500891,0.011943127070383586,80.01614809036255,11.729231119155884,0.013319015502929688,91.75869822502136,time_limit,optimal,optimal
1,8,20,20,0.25,0.25,80,16,5,0.023506369998724623,0.07940025690547411,0.9229236873806345,0.26603258029153903,0.0,80.01278185844421,16.008856058120728,0.012431144714355469,96.0340690612793,time_limit,time_limit,optimal
2,8,20,20,0.25,0.25,80,16,5,0.0003293002441178781,0.018362813203626118,0.09097636535359152,0.05997499916257313,0.006317120040624902,80.009850025177,16.005770206451416,0.012759923934936523,96.02838015556335,time_limit,time_limit,optimal
3,8,20,20,0.25,0.25,80,16,5,0.024906368908985028,0.091964932265157,0.9068401011450163,0.37298341766324944,0.0,80.01867604255676,16.007277965545654,0.010090112686157227,96.03604412078857,time_limit,time_limit,optimal
4,8,20,20,0.25,0.25,80,16,5,0.02165465467161993,0.07604713960063447,0.8863686070874133,0.2538296739701105,0.0,80.01802611351013,0.29548215866088867,0.01014089584350586,80.32364916801453,time_limit,optimal,optimal
