seed,K,n,m,alpha,beta,G,price_term,fairness_term1,fairness_term2,objective,t,gap,status
0,2,10,10,0.25,0.25,0.03812656431133685,0.1620796539305032,0.010594647231811723,0.016621275302380667,0.0013965882278267833,60.00192999839783,0.038093356248895364,time_limit
0,2,10,10,0.5,0.0,0.07244849846737851,0.15243582464305283,0.01290381408446666,0.050753008960839896,0.0012034611362119977,60.003435134887695,0.37469783692640285,time_limit
0,2,10,10,0.0,0.5,0.03180915461851207,0.165809857765267,0.010462898954892856,0.009996719364538942,0.0014246126456335776,60.00284481048584,0.009350862289882834,time_limit
0,2,10,20,0.0,0.0,0.013911908578892688,0.031393942728734726,0.006716549261011494,0.007414239675513468,9.855796400550762e-05,60.00260901451111,0.5130154771375979,time_limit
0,2,10,20,0.25,0.25,0.009723244842474653,0.032687950027724594,0.005718231122329323,0.003595334278537532,6.074398189040472e-05,60.001163959503174,0.7980135815972821,time_limit
0,2,10,20,0.5,0.0,0.01265874687610052,0.031842151535869924,0.005726674788410097,0.006611194328308478,5.889483175471812e-05,60.001708984375,0.8485275147541914,time_limit
0,2,10,20,0.0,0.5,0.008886688628109967,0.03331279721493666,0.005999953720933384,0.0025554320461496083,5.875223938541876e-05,60.00285506248474,0.4666364926681575,time_limit
0,2,20,5,0.0,0.0,0.13529663521252866,0.48088386094028024,0.016550770828495497,0.1029770567512669,0.011562464385641541,60.002140045166016,1.0,time_limit
0,2,20,5,0.25,0.25,0.0524825720924851,0.4850059715700104,0.0004675170280984953,0.02799851499993533,0.00607677634353609,60.00330114364624,1.0000000000000182,time_limit
0,2,20,5,0.5,0.0,0.19301289425564033,0.5457339479747323,0.011269305346771868,0.1600915441835178,0.007477387860051891,60.002224922180176,1.0,time_limit
0,2,20,5,0.0,0.5,0.06380081853213956,0.8251674057831063,0.0450848964859685,0.0,0.017022531189170544,60.003108978271484,1.0,time_limit
0,2,20,10,0.0,0.0,0.11065826356716937,0.5906181099393483,0.0037719627035787385,0.07924137671841258,0.017441487589416407,60.00344491004944,1.0,time_limit
0,2,20,10,0.25,0.25,0.06234540612101373,0.4562540236764217,0.028014542867885326,0.025525433503249984,0.0054651821184174025,60.00253200531006,1.0,time_limit
0,2,20,10,0.5,0.0,0.37131616200288664,0.976578036663403,0.10485572541212046,0.27005939746365626,0.026591297330259177,60.05361318588257,1.0,time_limit
0,2,20,10,0.0,0.5,0.07804989701830004,0.8749837475534228,0.0330679491031937,0.017766735089032037,0.01929774239992772,60.00197696685791,1.0,time_limit
0,2,20,20,0.0,0.0,0.24075919484489974,0.7647047425572361,0.14339219425871003,0.13082786058768292,0.029238667164476435,60.00314903259277,0.9999999999999981,time_limit
0,2,20,20,0.25,0.25,0.03245553525800955,0.2707078225540818,3.410409065088662e-07,0.018919973609852203,0.001921559480163221,60.004080057144165,1.0,time_limit
0,2,20,20,0.5,0.0,0.07504452594254661,0.939414997128279,0.056147552172265316,0.0,0.022850650324472428,60.00480604171753,1.0,time_limit
0,2,20,20,0.0,0.5,0.027165087846895683,0.2933113421525217,2.904336964291625e-08,0.012499506217584777,0.0022289074137245616,60.003437995910645,1.0,time_limit
0,4,5,5,0.0,0.0,0.08636837837303807,0.12688576018285697,0.07884424460449224,0.04128016518534361,0.0032199992274362984,60.00293803215027,0.02938277324275476,time_limit
0,4,5,5,0.25,0.25,0.06943153130062626,0.13110445099519819,0.07784385454011368,0.023749677466558206,0.0022385786076205166,60.00172019004822,0.02064516754569722,time_limit
0,4,5,5,0.5,0.0,0.08557055653624662,0.12728427952121346,0.07763957071123291,0.0407038079541957,0.002373616648851507,60.0029821395874,0.03977274694017871,time_limit
0,4,5,5,0.0,0.5,0.06337440330313376,0.13472578829850418,0.07905841181292389,0.01666464269020196,0.0019539589612613873,60.00435209274292,0.011006972951330145,time_limit
0,4,5,10,0.0,0.0,0.14245375992159767,0.16548762712818205,0.12853904077983608,0.07722147430100224,0.0054772309465032434,60.004055976867676,0.4242572575759213,time_limit
0,4,5,10,0.25,0.25,0.10347046449036613,0.17731232005013578,0.12423015475560206,0.03695046179143846,0.0044498707502188695,60.0024631023407,0.4016667436123792,time_limit
0,4,5,10,0.5,0.0,0.13585655896952142,0.16584333463614082,0.1277588809963822,0.0707481717931977,0.004790692623504468,60.00343990325928,0.34219784876931236,time_limit
0,4,5,10,0.0,0.5,0.0930020784489584,0.18475334573352142,0.12309490691681528,0.025277682573050297,0.0037328604941049555,60.003374099731445,0.402022038002542,time_limit
0,4,5,20,0.0,0.0,0.1577569070576662,0.3214996684847451,0.0746062178018783,0.07480541891024761,0.020672407367160202,60.00306797027588,0.10948218404115727,time_limit
0,4,5,20,0.25,0.25,0.1305552929391937,0.3294993439321404,0.06284125169537229,0.04894511122892253,0.011702701675639067,60.00231099128723,0.15138103582660473,time_limit
0,4,5,20,0.5,0.0,0.15577393714998966,0.32248580381289904,0.06695279500752978,0.0745385776355274,0.0109600439610002,60.002094984054565,0.17607128572173786,time_limit
