seed,K,m,n,size,alpha,beta,dd_face1_time,dd_face1_status,dd_face2_time,dd_face2_status,hybrid_time,hybrid_status,objective,G,price_term,fairness_term1,fairness_term2
0,2,5,5,small,0.0,0.0,0.10548114776611328,optimal,0.09756898880004883,optimal,0.001135110855102539,optimal,0.002034085827342388,0.08621359145387797,0.10084854553592698,5.020062788612997e-08,0.06604385724637862
0,2,5,5,small,0.25,0.25,0.12476301193237305,optimal,0.17544198036193848,optimal,0.0005450248718261719,optimal,0.0014661870452180677,0.0498410140654145,0.11318942017249507,1.4042825305659832e-09,0.027203129328774223
0,2,5,5,small,0.5,0.0,0.17649412155151367,optimal,0.21891212463378906,optimal,0.0005500316619873047,optimal,0.0010170467801935757,0.08621364954435265,0.1008487372349869,1.3315382738348608e-07,0.06604383552044157
0,2,5,5,small,0.0,0.5,0.10211610794067383,optimal,0.19860291481018066,optimal,0.0004889965057373047,optimal,0.001582677573711597,0.04109555939985944,0.11983213149434455,6.210657729569541e-11,0.01712913306993724
0,2,5,10,big,0.0,0.0,50.00383806228638,time_limit,0.16353988647460938,optimal,0.00041413307189941406,optimal,0.07442211479601703,0.1749388045361523,0.8626825302277601,0.05876940634373129,0.05928584834151063
0,2,5,10,big,0.25,0.25,50.00153708457947,time_limit,0.6130669116973877,optimal,0.0011749267578125,optimal,0.03776317567600015,0.12400020170935233,0.8655602757569091,0.04425263245131083,0.015317857908005994
0,2,5,10,big,0.5,0.0,50.00855016708374,time_limit,0.4463210105895996,optimal,0.0018329620361328125,optimal,0.037792704341999196,0.15575665944596576,0.8648802839574132,0.03958833480137309,0.04947446364953789
0,2,5,10,big,0.0,0.5,50.002102851867676,time_limit,1.5226891040802002,optimal,0.0007550716400146484,optimal,0.03265626000192222,0.09377090291955717,0.8079659419405772,0.014701632032315028,0.005623492709341926
0,2,5,20,big,0.0,0.0,50.00274705886841,time_limit,10.005476951599121,time_limit,0.0008590221405029297,optimal,0.009874080800598178,0.1625029767025128,0.44438903678192104,0.010520367180675887,0.1350233412730788
0,2,5,20,big,0.25,0.25,50.006539821624756,time_limit,10.005182981491089,time_limit,0.001371145248413086,optimal,0.005800715922444451,0.05167385342295153,0.4734859085269866,7.555812697766312e-08,0.02799952021753871
0,2,5,20,big,0.5,0.0,50.008323192596436,time_limit,10.002198934555054,time_limit,0.0014660358428955078,optimal,0.004947433197278394,0.15047704751730775,0.44468125246182005,0.00394856429760034,0.12626870274541657
0,2,5,20,big,0.0,0.5,50.00416684150696,time_limit,10.004620790481567,time_limit,0.0010941028594970703,optimal,0.014939584725569235,0.05698972888185537,0.7685654399024127,6.675640611227205e-11,0.01856145685335653
0,2,10,5,small,0.0,0.0,3.574970006942749,optimal,0.20725607872009277,optimal,0.000431060791015625,optimal,0.14064878498538344,0.22100837718505498,0.8385964016897027,0.03969628026556459,0.033440956714332115
0,2,10,5,small,0.25,0.25,40.11894202232361,optimal,0.2747039794921875,optimal,0.0008950233459472656,optimal,0.07100877567974852,0.18664893165161414,0.8421247223473998,0.026009309603391144,0.0052193323804385905
0,2,10,5,small,0.5,0.0,25.570909023284912,optimal,0.14075589179992676,optimal,0.000637054443359375,optimal,0.0710707597767455,0.18602108771270717,0.8423332524167293,0.021746628616956715,0.006681122920882965
0,2,10,5,small,0.0,0.5,1.6960299015045166,optimal,0.26813817024230957,optimal,0.0008819103240966797,optimal,0.07043162373168123,0.18726731497582388,0.8391129766857208,0.026062914434173606,0.006413262421592902
0,2,10,10,big,0.0,0.0,1.0479180812835693,optimal,0.7821950912475586,optimal,0.0006260871887207031,optimal,0.0023174353830058346,0.07499772057361913,0.15223125116104888,0.01393872610263326,0.05280523240619761
0,2,10,10,big,0.25,0.25,4.986618995666504,optimal,1.7713799476623535,optimal,0.0010530948638916016,optimal,0.0013965939115801816,0.03812616005586143,0.1620802321310892,0.010594546093788966,0.016620863795858032
0,2,10,10,big,0.5,0.0,6.8976662158966064,optimal,1.641589879989624,optimal,0.0008709430694580078,optimal,0.0013227830783975592,0.06349301815917506,0.16179479372386674,0.007457966100789048,0.04358455573639386
0,2,10,10,big,0.0,0.5,4.401793003082275,optimal,1.0327069759368896,optimal,0.0006909370422363281,optimal,0.0014246181838433888,0.03186679590532372,0.16576497534552584,0.01043774068223451,0.010071428029653884
0,2,10,20,big,0.0,0.0,50.01078796386719,time_limit,0.03517794609069824,optimal,0.0008130073547363281,optimal,0.021474180931223674,0.06965097030964809,0.6553499970431628,0.07376694091497989,0.0
0,2,10,20,big,0.25,0.25,50.007577896118164,time_limit,0.9429929256439209,optimal,0.0018930435180664062,optimal,0.011410161497997489,0.0692754184753871,0.6555651006032512,0.07299432689044905,0.0
0,2,10,20,big,0.5,0.0,50.008342027664185,time_limit,0.6384351253509521,optimal,0.0011560916900634766,optimal,0.012067876454779703,0.06859122751029095,0.6569732233854804,0.07148513268203385,0.0
0,2,10,20,big,0.0,0.5,50.007474184036255,time_limit,10.002478122711182,time_limit,0.001264810562133789,optimal,0.005425556511149775,0.05048211044022047,0.4610592983362337,0.025036876379867797,0.014910707333474882
0,2,20,5,small,0.0,0.0,0.6530377864837646,optimal,0.12709879875183105,optimal,0.00047898292541503906,optimal,0.0001836893811366171,0.019043901755332222,0.030305888960449345,0.009234659257308608,0.00836539433458805
0,2,20,5,small,0.25,0.25,0.40959811210632324,optimal,0.1149909496307373,optimal,0.00102996826171875,optimal,0.00011070988591340551,0.014739620079871785,0.03100369428197244,0.009296213736680893,0.00389077435513685
0,2,20,5,small,0.5,0.0,1.0090699195861816,optimal,0.10723114013671875,optimal,0.0013508796691894531,optimal,0.000113116131635689,0.019205113855561107,0.03031318978129171,0.00921459367829709,0.008535179060154219
0,2,20,5,small,0.0,0.5,0.5616250038146973,optimal,0.11818289756774902,optimal,0.0006029605865478516,optimal,0.00010230496966998586,0.013463343584635537,0.0314922673584859,0.009326837626045909,0.002501471299915403
0,2,20,10,big,0.0,0.0,4.33728814125061,optimal,0.8957569599151611,optimal,0.0014109611511230469,optimal,0.00018115385901927033,0.01637465064539989,0.04256217323155272,0.00423994120488394,0.009998462719802648
0,2,20,10,big,0.25,0.25,11.242666959762573,optimal,2.169218063354492,optimal,0.0018160343170166016,optimal,9.613134798134742e-05,0.008505596672361608,0.043059180292995096,0.0011879172998880052,0.003605719993118095
0,2,20,10,big,0.5,0.0,7.0252039432525635,optimal,1.8561129570007324,optimal,0.001775979995727539,optimal,9.414812264821557e-05,0.015343131975372144,0.04273689855734971,0.0033621408258165376,0.009388371706728904
0,2,20,10,big,0.0,0.5,4.947954177856445,optimal,1.005781888961792,optimal,0.0011658668518066406,optimal,9.812841608543811e-05,0.007220176392326247,0.043660185463540314,0.0009604097536164632,0.002373952969163984
0,2,20,20,big,0.0,0.0,50.003807067871094,time_limit,0.03663492202758789,optimal,0.0009889602661132812,optimal,0.018261925396678334,0.044054359402552964,0.6043496570145189,0.027673753103654032,0.0
